id,name,group,keywords,position,decision_questions,likely_outputs,source_ids
T01,護理人員資格與名稱使用,人員資格與執登,護理師、護士、名稱、資格、證書、護理,先判斷是否具護理師或護士資格，再判斷名稱或服務內容是否使社會大眾誤認為護理人員、護理機構或護理業務。未具資格者不得使用護理師、護士名稱，也不得藉由廣告或職稱混淆法定業務。,行為人是否領有護理師或護士證書？；使用名稱是否足以使民眾誤認為護理人員或護理業務？；實際服務是否涉及護理人員法第24條業務？,未具資格者使用護理師或護士名稱，傾向認定違反名稱使用限制。；若僅為一般生活服務，但名稱或廣告造成護理業務誤認，仍應依護理人員法及相關規定處理。,interp-0008、interp-0010
T02,執業登記與執業執照,人員資格與執登,執業登記、執業執照、證書、第8條、登錄、執登,證書代表具備護理人員資格，執業執照才代表可在特定處所執業。只要實際從事護理人員法第24條業務，原則上須向所在地主管機關辦理執業登記並領有執業執照。,是否已領有護理人員證書？；是否實際執行第24條護理業務？；是否已在該執業所在地辦理執業登記？,僅持有證書但未執登，不足以合法執業。；職稱不影響判斷；實際業務落入第24條時仍須執登。,interp-0019、interp-0039、interp-0626
T03,執業處所與其他經中央主管機關認可之機構,人員資格與執登,第12條、執業處所、認可之機構、其他經中央主管機關認可、場所,護理人員執業處所原則限於醫療機構、護理機構或其他經中央主管機關認可之機構。判斷重點是該場域是否依法應或得配置護理人員，以及該人員是否在該場所實際執行第24條業務。,該場域是否有法令依據應或得配置護理人員？；是否已由中央主管機關公告或個案認可？；護理人員是否實際在該場域執行護理業務？,依法應或得配置護理人員且實際執行護理業務者，較可能認可作為執業登記場域。；單純衛教、研究或公益任務不必然等於可作為執業登記機構，仍須回到認可條件判斷。,interp-0109、interp-0110、interp-0620、interp-0626
T04,學校護理人員,學校、幼兒園與特殊場域,學校、校護、健康中心、學校衛生、公共衛生、衛生教育,學校校護工作屬護理人員法第8條所稱執業。學校衛生保健、疾病管理及救護、傳染病防治、預防接種、衛生教育等，屬護理人員業務範疇，也具公共衛生業務性質。,是否在學校場域擔任校護或健康中心照護工作？；工作內容是否包括衛生保健、疾病管理、救護、傳染病防治、預防接種或衛生教育？；是否依法辦理執業登記？,學校校護不是單純行政職，屬護理執業，應依護理人員法辦理執登及管理。；學校護理人員可依衛生機關工作計畫或公函執行或協助公共衛生業務。,interp-0006、interp-0019、interp-0039
T05,學校及幼兒園等教育照護場域,學校、幼兒園與特殊場域,幼兒園、托嬰中心、學校、健康中心、教育照護、生活輔導員,幼兒園、托嬰中心、學校健康中心等教育照護場域，如依相關法令得或應配置護理人員，且實際從事第24條業務，傾向要求辦理執業登記。場域不是醫院並不當然免除護理法規。,該教育照護場域是否依法應或得配置護理人員？；人員是否實際執行第24條業務？；若為支援或代理，是否符合支援報備或事先報准規定？,幼兒園、托嬰中心或學校依法配置護理人員且執行護理業務時，應走執登或支援報備程序。；僅以生活輔導員、保健人員等職稱不能排除實質護理業務判斷。,interp-0048、interp-0039、interp-0082、interp-0626
T06,校護代理、支援與短期請假,學校、幼兒園與特殊場域,校護、代理、短時間請假、支援、報備、健康中心,校護短期請假時，仍不能讓未辦執登者直接執業。可商請鄰近機構護理人員依護理人員法第12條支援學校護理工作，並依支援或事先報准程序處理。,代理者是否具護理人員資格並已合法執業？；支援是否來自鄰近合法執業機構？；是否已依第12條但書完成支援報備或事先報准？,合格但非現職或未執登者，仍不得逕行代理校護執業。；學校短期缺口應優先以合法支援機制處理。,interp-0082、interp-0019
T07,助產人員、生活輔導員或其他人員支援學校護理工作,學校、幼兒園與特殊場域,助產人員、生活輔導員、健康中心、支援學校、逾越業務,是否可支援學校護理工作，不看職稱而看資格與實際業務。僅具助產資格者執行學校護理工作，因學校護理業務與助產業務不同，可能逾越執業規定。持護理師證書者若到健康中心執行第24條業務，仍須辦理執登。,該人員具備哪一類醫事人員資格？；實際工作是否為學校護理業務而非原專業法定業務？；若具護理資格，是否已辦理執業登記？,助產人員不得因具醫事資格即支援學校護理工作。；生活輔導員若持護理師證書並執行第24條業務，仍應辦理護理執登。,interp-0076、interp-0039
T08,護理教育、護理教師與實習指導,學校、幼兒園與特殊場域,護理教師、護理教育、實習指導、護生、學校為登記處所,護理人員擔任護理學校教師，從事護理教育或護生實習指導，若非以執行護理人員業務為職業，可無須辦理執業登記；如欲辦理執登，得以學校為登記處所。,工作重點是教學與實習指導，還是直接執行護理業務？；是否以執行護理人員法第24條業務為職業？；如需執登，是否以學校所在地為登記處所？,純護理教育或護生實習指導可與校護執業區分。；若教師另直接執行護理業務，仍應回到執登規範判斷。,interp-0016、interp-0086
T09,醫療輔助行為,醫療輔助行為與專業邊界,醫療輔助、醫師指示、第24條、侵入性、處置,醫療輔助行為是護理人員法第24條業務之一，應在醫師指示下行之。判斷新處置時，先看是否影響身體結構、生理機能，是否屬診療照護流程，是否已有特別函釋。,該行為是否涉及疾病檢查、診斷、治療或照護流程？；是否涉及侵入性檢查、治療、處置或醫療儀器？；是否有醫師指示或監督？,若屬醫療輔助行為，護理人員須在醫師指示下為之。；未具護理資格者不得因有醫囑即執行護理人員法定業務。,interp-0039、interp-0499、interp-0501
T10,專科護理師與醫師監督,醫療輔助行為與專業邊界,專科護理師、醫師監督、醫療業務、甄審,專科護理師可在法定範圍內於醫師監督下執行醫療業務，但不因此取代醫師、助產人員或其他醫事人員法定業務。仍須遵守分科、甄審、監督及執業範圍限制。,是否具專科護理師資格？；行為是否屬專科護理師依法可於醫師監督下執行之醫療業務？；是否涉及其他醫事人員專屬業務？,專科護理師制度不是醫師或助產人員業務的替代制度。；仍須依醫師監督與相關辦法界定範圍。,interp-0612
